sourceName,date,USD,EUR,number
PARTNER_REUTERS_BIDASK_24H,2021-01-04T01:00:00.000+0000,USD,KES,109.1
PARTNER_REUTERS_BIDASK_24H,2021-01-05T01:00:00.000+0000,USD,KES,109.2
PARTNER_REUTERS_BIDASK_24H,2021-01-06T01:00:00.000+0000,USD,KES,109.3
PARTNER_REUTERS_BIDASK_24H,2021-01-07T01:00:00.000+0000,USD,KES,109.4
PARTNER_REUTERS_BIDASK_24H,2021-01-08T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-01-09T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-01-10T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-01-11T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-01-12T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-01-13T01:00:00.000+0000,USD,KES,109.6
PARTNER_REUTERS_BIDASK_24H,2021-01-14T01:00:00.000+0000,USD,KES,109.9
PARTNER_REUTERS_BIDASK_24H,2021-01-15T01:00:00.000+0000,USD,KES,109.85
PARTNER_REUTERS_BIDASK_24H,2021-01-16T01:00:00.000+0000,USD,KES,110
PARTNER_REUTERS_BIDASK_24H,2021-01-17T01:00:00.000+0000,USD,KES,110
PARTNER_REUTERS_BIDASK_24H,2021-01-18T01:00:00.000+0000,USD,KES,110
PARTNER_REUTERS_BIDASK_24H,2021-01-19T01:00:00.000+0000,USD,KES,110
PARTNER_REUTERS_BIDASK_24H,2021-01-20T01:00:00.000+0000,USD,KES,110.1
PARTNER_REUTERS_BIDASK_24H,2021-01-21T01:00:00.000+0000,USD,KES,110.1
PARTNER_REUTERS_BIDASK_24H,2021-01-22T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-01-23T01:00:00.000+0000,USD,KES,109.9
PARTNER_REUTERS_BIDASK_24H,2021-01-24T01:00:00.000+0000,USD,KES,109.9
PARTNER_REUTERS_BIDASK_24H,2021-01-25T01:00:00.000+0000,USD,KES,109.9
PARTNER_REUTERS_BIDASK_24H,2021-01-26T01:00:00.000+0000,USD,KES,110
PARTNER_REUTERS_BIDASK_24H,2021-01-27T01:00:00.000+0000,USD,KES,110
PARTNER_REUTERS_BIDASK_24H,2021-01-28T01:00:00.000+0000,USD,KES,110.07
PARTNER_REUTERS_BIDASK_24H,2021-01-29T01:00:00.000+0000,USD,KES,110.05
PARTNER_REUTERS_BIDASK_24H,2021-01-30T01:00:00.000+0000,USD,KES,110.05
